Datum (ANWB),Land,Diesel (B7),E10,E5,Lpg
17-03-2026,Albanië,"1,808","1,808","1,808","0,596"
17-03-2026,Andorra,"1,534","1,457","1,516",
17-03-2026,België,"2,013","1,74","1,813","0,925"
17-03-2026,Bosnië-Herzegovina,"1,561","1,282",,"0,692"
17-03-2026,Bulgarije,"1,477","1,465",,"0,64"
17-03-2026,Cyprus,"1,593","1,425","1,468",
17-03-2026,Denemarken,"2,23","2,126",,
17-03-2026,Duitsland,"2,153","2,034","2,163","1,118"
17-03-2026,Estland,"1,798","1,539","1,586",
17-03-2026,Finland,"2,064","1,67",,
17-03-2026,Frankrijk,"2,059","1,9","1,986","0,977"
17-03-2026,Griekenland,"1,627","1,766",,
17-03-2026,Hongarije,"1,78","1,471",,"0,821"
17-03-2026,Ierland,"2,358","2,153",,
17-03-2026,IJsland,"1,65","1,516","1,842",
17-03-2026,Italië,"2,087","1,851","1,95","0,702"
17-03-2026,Kroatië,"1,522","1,491",,"1,092"
17-03-2026,Letland,"1,927","1,657","1,724","0,949"
17-03-2026,Liechtenstein,"2,036","1,898","2,011",
17-03-2026,Litouwen,"1,902","1,502",,
17-03-2026,Luxemburg,"1,777","1,653","1,776","0,882"
17-03-2026,Malta,"1,21","1,34","1,49",
17-03-2026,Moldavië (de Republiek),"0,776","0,88","0,909",
17-03-2026,Monaco,"2,227","1,871",,
17-03-2026,Montenegro,"1,464","1,4",,"0,72"
17-03-2026,Nederland,"2,259","2,25","2,514","0,933"
17-03-2026,Noord -Macedonië,"1,39","1,293",,"0,862"
17-03-2026,Noorwegen,"2,3","2,193","2,253",
17-03-2026,Oekraïne,"1,515","1,378",,"0,86"
17-03-2026,Oostenrijk,"1,978","1,772","1,895","1,121"
17-03-2026,Polen,"1,8","1,532","1,505","0,629"
17-03-2026,Portugal,"1,977","1,893","1,989","0,957"
17-03-2026,Roemenië,"1,763","1,655","1,8","0,775"
17-03-2026,Rusland,"0,822","0,731","0,908","0,304"
17-03-2026,Servië,"1,686","1,499",,"0,712"
17-03-2026,Slovenië,"1,528","1,466","1,698","0,859"
17-03-2026,Slowakije,"1,548","1,526","1,654","0,699"
17-03-2026,Spanje,"1,859","1,735","1,873","0,96"
17-03-2026,Tsjechië,"1,793","1,495","1,585","0,806"
17-03-2026,Turkije,"1,336","1,244",,"0,6"
17-03-2026,Verenigd Koninkrijk,"1,88","1,849","1,781","1,137"
17-03-2026,Wit -Rusland,"0,769","0,769","0,786","0,375"
17-03-2026,Zweden,"1,861","1,54","1,745",
17-03-2026,Zwitserland,"2,094","1,877","1,985","1,279"
